"ID","TIPO","ANO_LETIVO","PERIODO","CODIGO","TURNOS","N_AULAS","HORAS_TURNO"
1296,"P","1998/1999","2S","EEC4261",5,,2
1297,"P","1998/1999","2S","EEC4262",5,,1
1298,"T","1999/2000","1S","EEC3141",1,,3
1299,"T","1999/2000","1S","EEC3142",1,,3
1301,"T","1999/2000","2S","EEC3161",1,,3
1302,"P","1998/1999","2S","EEC4273",2,,1
1303,"T","1999/2000","1S","EEC3162",1,,3
1304,"T","1999/2000","2S","EEC3221",1,,3
1305,"T","1999/2000","2S","EEC3222",1,,3
1307,"P","1998/1999","2S","EEC4278",1,,1
1308,"T","1999/2000","2S","EEC3224",1,,3
1309,"P","1998/1999","2S","EEC4280",1,,1
1310,"T","1999/2000","2S","EEC3225",1,,3
1311,"T","1999/2000","2S","EEC3241",1,,3
1313,"P","1998/1999","2S","EEC4284",1,,1
1314,"T","1999/2000","2S","EEC3243",1,,3
1315,"T","1999/2000","2S","EEC3244",1,,3
1316,"T","1999/2000","2S","EEC3245",1,,3
1317,"T","1999/2000","2S","EEC3261",1,,3
1319,"T","1999/2000","2S","EEC3262",1,,3
1320,"T","1999/2000","1S","EEC3263",1,,3
1321,"T","1999/2000","2S","EEC3264",1,,3
1322,"T","1999/2000","2S","EEC3265",1,,3
1323,"T","1999/2000","1S","EEC4101",3,,3
1325,"T","1999/2000","1S","EEC4122",1,,3
1326,"T","1999/2000","1S","EEC4123",1,,3
1327,"T","1999/2000","1S","EEC4124",1,,3
1328,"T","1999/2000","1S","EEC4141",1,,3
1329,"T","1999/2000","1S","EEC4142",1,,3
1330,"T","1999/2000","1S","EEC4143",1,,3
1332,"T","1999/2000","1S","EEC4161",1,,3
1333,"T","1999/2000","1S","EEC4162",1,,3
1334,"T","1999/2000","1S","EEC4163",1,,3
1335,"T","1999/2000","1S","EEC4164",1,,3
1336,"T","1999/2000","2S","EEC4221",1,,3
1338,"T","1999/2000","2S","EEC4223",1,,3
1339,"T","1999/2000","2S","EEC4224",1,,3
1340,"T","1999/2000","2S","EEC4225",1,,3
1341,"T","1998/1999","1S","EEC1103",2,,3
1342,"P","1998/1999","1S","EEC1103",10,,2
1344,"TP","1998/1999","1S","EEC1101",2,,1
1345,"P","1998/1999","1S","EEC1101",10,,1
1346,"T","1997/1998","1S","EEC1103",2,,3
1347,"P","1997/1998","2S","EEC210",10,,
1348,"P","1997/1998","1S","EEC1103",10,,2
1350,"T","1997/1998","1S","EEC202",2,,2
1351,"TP","1997/1998","1S","EEC202",10,,1
1352,"T","1997/1998","1S","EEC205",2,,3
1353,"T","1997/1998","1S","EEC302",2,,3
1354,"TP","1997/1998","1S","EEC302",2,,2
1356,"TP","1997/1998","2S","EEC3224",1,,1
1357,"P","1997/1998","2S","EEC3224",3,,1
1358,"TP","1997/1998","2S","EEC3264",1,,1
1359,"P","1997/1998","2S","EEC3264",3,,1
1360,"TP","1997/1998","2S","EEC3244",1,,1
1362,"T","1997/1998","1S","EEC400",1,,2
1363,"P","1997/1998","1S","EEC400",2,,2
