"CODIGO","DESIGNACAO","SIGLA_UC","CURSO"
"EC5144","Seminário de Comunicações 1","SCOM1",233
"EC5142","Caminhos de Ferro","CF",233
"EC5141","Circulação e Transportes 1","CT1",233
"EC5240","Seminário de Planeamento 2","SP2",233
"EC5239","Planeamento de Transportes 2","PT2",233
"EC5238","Planeamento Urbano 2","PU2",233
"EC5237","Planeamento Regional","PR",233
"EC5136","Seminário de Planeamento 1","SP1",233
"EC5135","Planeamento de Transportes 1","PT1",233
"EC5134","Planeamento Urbano 1","PU1",233
"EC5133","Planeamento e Qualidade do Ambiente","PQA",233
"EC5232","Seminário de Hidráulica 2","SH2",233
"EC5230","Aproveitamentos Hidráulicos 2","AH2",233
"EC5229","Trabalhos Fluviais e Marítimos 2","TFM2",233
"EC5128","Seminário de Hidráulica 1","SH1",233
"EC5127","Projecto de Infraestruturas de Saneamento Básico 1","PGISB1",233
"EC5126","Aproveitamentos Hidráulicos 1","AH1",233
"EC5125","Trabalhos Fluviais e Marítimos 1","TFM1",233
"EC5224","Seminário de Geotecnia 2","SG2",233
"EIC4206","Sistemas Operativos Distribuídos","SOD",275
"EIC4205","Sistemas de Comunicação Integrada","SCI",275
"EMM121","Computação e Programação I","CP1",315
"EIC4204","Concepção e Fabrico Assistido por Computador","CFAC",275
"EIC4203","Laboratório de Informática Avançada","LIA",275
"EIC4202","Análise de Investimentos","AI",275
"EIC4201","Aspectos Sociais da Informática","ASI",275
"EIC4200","Computação Numérica e Simbólica","CNS",275
"EM607","Projecto de Sistemas de Automação","PSA",304
"EC5248","Seminário de Comunicações 2","SCOM2",233
"EC5278","Protecção Costeira","PCOST",233
"MTM113","Complementos de Educação Multimédia","CEM",1600
"EC5274","Obras Geotécnicas","OG",233
"EC5272","Concepção e Dimensionamento de Edifícios Altos","CDEA",233
"EC5271","Alvenarias Resistentes","AR",233
"EC5270","Geotecnia a Obras Hidráulicas","GOH",233
"EC5268","Métodos Numéricos em Engenharia","MNE",233
"EC5267","Legislação de Construção Civil","LCC",233
"EC5264","Concepção e Execução de Estruturas de Edifícios","CEEES2",233
"EC5163","Segurança Contra Incêndios em Edifícios","SCIE",233
"EC5156","Dinâmica Estrutural","DE",233
"EC5155","Construções Metálicas","CMTE",233
"EC5159","Patologia dos Materiais","PM",233
"EC5158","Infra-Estruturas Rodoviárias e Ferroviárias","IRF",233
"CPGEE1007","Arquitecturas Avançadas de Microcomputadores","AAM",1300
"CPGEA314","Ambiente e Desenvolvimento(Palestras Temáticas)","ADPT",1200
"CPGEA211","Ambiente e Desenvolvimento(Palestras Temáticas)","ADPT",1200
"MEA412","Ambiente e Desenvolvimento(Palestras Temáticas)","ADPT",1100
